Marcia,Pugh,female,17,3,10,82.4,"9253 Richardson Road, Matawan, NJ 07747",sophomore
Kadeem,Morrison,male,18,4,4,78.2,"33 Spring Dr., Taunton, MA 02780",junior
Nash,Powell,male,18,5,9,79.3,"41 Hill Avenue, Mentor, OH 44060",sophomore
Noelani,Wagner,female,14,2,7,83.2,"8839 Marshall St., Miami, FL 33125",junior
Noelani,Cherry,female,18,4,15,87.4,"8304 Charles Rd., Lewis Center, OH 43035",junior
Neil,Whitley,male,16,5,16,88.7,"40 Washington Ave., Bloomfield, NJ 07003",junior
Nelle,Golden,female,17,1,9,80.2,"9768 Hanover Dr., Meadville, PA 16335",sophomore
Armando,Hoffman,male,17,5,18,95.1,"360 Manor Drive, Northville, MI 48167",sophomore
Illiana,Rojas,female,15,5,9,76.5,"9425 Studebaker Dr., Thibodaux, LA 70301",junior
Neil,Wooten,male,15,3,15,89.7,"400 Bridge Court, Soddy Daisy, TN 37379",junior
Daquan,Alvarez,male,16,2,13,85.2,"9028 Arnold Circle, Elizabeth, NJ 07202",junior
Nola,Velazquez,female,15,2,10,75.3,"72 Bradford Dr., Carlisle, PA 17013",junior
Quinn,Warren,female,14,4,12,80.7,"760 Smith Street, Appleton, WI 54911",junior
Frances,Velasquez,female,15,2,15,84.2,"57 Bridge St., Tupelo, MS 38801",freshman
Lareina,Poole,female,18,1,14,87.6,"59 Court Dr., Waxhaw, NC 28173",junior
Medge,Mccarthy,female,15,1,8,75.8,"609 Warren Court, Prior Lake, MN 55372",freshman
Kibo,Gates,male,16,1,10,88.2,"24 Vernon Street, Helena, MT 59601",senior
Libby,Guzman,female,19,1,19,100.0,"666 S. Pennington Rd., Dover, NH 03820",freshman
Shelly,Rosario,female,18,4,13,84.3,"571 Miles Street, Flowery Branch, GA 30542",freshman
Lane,Tate,male,19,4,11,84.2,"4 Old Westport St., Glen Burnie, MD 21060",senior
Isadora,Case,female,18,3,11,79.1,"44 Ocean Lane, Appleton, WI 54911",sophomore
Maggy,Whitfield,female,15,1,15,90.5,"2 Henry Ave., Palm Bay, FL 32907",sophomore
Elton,Wagner,male,16,2,9,71.0,"98 Indian Spring St., Athens, GA 30605",sophomore
Lance,Benjamin,male,14,5,18,90.3,"55 Creek Dr., Lorton, VA 22079",sophomore
Kyle,Skinner,male,17,5,6,82.4,"8593 East Branch St., Mooresville, NC 28115",senior
Colin,Cohen,male,14,1,10,83.8,"23 Lakewood Street, Lake Worth, FL 33460",sophomore
Solomon,Mcpherson,male,15,5,18,94.5,"7465 North Pearl St., Massapequa Park, NY 11762",sophomore
Ulla,Warren,female,18,1,16,83.5,"89 Fairview Avenue, Hopkins, MN 55343",junior
Tyler,Collier,male,16,1,9,69.7,"65 Lookout Street, Marshfield, WI 54449",freshman
Emma,Mccall,female,16,2,13,91.1,"854 Sussex Street, Westford, MA 01886",freshman
Isaiah,Newman,male,16,2,12,91.9,"12 Shirley Road, Everett, MA 02149",junior
Carol,Acosta,female,16,3,13,85.0,"8459 Windfall St., Navarre, FL 32566",sophomore
